Wavelength,n,k
401.383362,2.328894,0.002934
402.97113,2.325628,0.0028770000000000002
404.558899,2.322428,0.002822
406.146667,2.319293,0.002768
407.734436,2.316222,0.002716
409.322113,2.313211,0.002665
410.909821,2.31026,0.002615
412.497498,2.307366,0.002566
414.085144,2.304528,0.002519
415.67276,2.301745,0.002473
417.260345,2.299015,0.002429
418.847961,2.296336,0.002385
420.435486,2.293708,0.002342
422.023041,2.291127,0.002301
423.610535,2.288594,0.00226
425.198059,2.286108,0.002221
426.785492,2.283666,0.002182
428.372955,2.281268,0.002144
429.960358,2.278912,0.002108
431.54776,2.276598,0.002072
433.135101,2.274325,0.002036
434.722473,2.27209,0.002002
436.309753,2.269894,0.001968
437.897064,2.267736,0.001936
439.484314,2.265614,0.001903
441.071533,2.263527,0.001872
442.658752,2.261476,0.001841
444.245941,2.259458,0.001811
445.833099,2.257473,0.001782
447.420227,2.255521,0.001753
449.007324,2.2536,0.001725
450.594391,2.25171,0.001697
452.181458,2.249851,0.00167
453.768463,2.24802,0.001643
455.355408,2.246218,0.001617
456.942383,2.244445,0.001592
458.529297,2.242699,0.001567
460.116211,2.240979,0.001543
461.703064,2.239286,0.001519
463.289886,2.237619,0.001495
464.876709,2.235977,0.001472
466.46347,2.234359,0.001449
468.050201,2.232765,0.001427
469.636902,2.231195,0.001405
471.223633,2.229648,0.001384
472.810242,2.228123,0.001363
474.396881,2.226621,0.001343
475.983459,2.22514,0.001322
477.570007,2.22368,0.001303
479.156555,2.222241,0.001283
480.743011,2.220822,0.001264
482.329498,2.219423,0.001245
483.915924,2.218044,0.001227
485.502289,2.216684,0.001209
487.088623,2.215342,0.001191
488.674957,2.214019,0.001173
490.26123,2.212714,0.001156
491.847473,2.211426,0.001139
493.433685,2.210156,0.001123
495.019867,2.208903,0.001106
496.606018,2.207666,0.00109
498.192139,2.206445,0.001075
499.778168,2.205241,0.001059
501.364197,2.204053,0.001044
502.950195,2.20288,0.001029
504.536194,2.201721,0.001014
506.122131,2.200578,0.001
507.707947,2.19945,0.000985
509.293854,2.198335,0.000971
510.879639,2.197235,0.000958
512.465454,2.196149,0.000944
514.051147,2.195076,0.000931
515.636841,2.194017,0.000917
517.222473,2.19297,0.000904
518.808105,2.191937,0.000892
520.393677,2.190916,0.000879
521.979187,2.189907,0.000867
523.564697,2.188911,0.000855
525.150146,2.187927,0.000843
526.735535,2.186954,0.000831
528.320923,2.185993,0.000819
529.906311,2.185043,0.000808
531.491577,2.184105,0.000796
533.076782,2.183177,0.000785
534.661987,2.182261,0.000774
536.247192,2.181355,0.000763
537.832336,2.180459,0.000753
539.417358,2.179574,0.000742
541.002441,2.178699,0.000732
542.587402,2.177834,0.000722
544.172363,2.176979,0.000712
545.757263,2.176133,0.000702
547.342163,2.175297,0.000692
548.926941,2.17447,0.000683
550.511719,2.173652,0.000673
552.096436,2.172843,0.000664
553.681091,2.172044,0.000655
555.265747,2.171252,0.000646
556.850342,2.17047,0.000637
558.434937,2.169696,0.000628
560.019409,2.168931,0.000619
561.603882,2.168174,0.000611
563.188232,2.167424,0.000602
564.772583,2.166683,0.000594
566.356934,2.16595,0.000586
567.941223,2.165224,0.000577
569.525391,2.164506,0.000569
571.109558,2.163796,0.000562
572.693726,2.163093,0.000554
574.277771,2.162397,0.000546
575.861755,2.161708,0.000538
577.44574,2.161027,0.000531
579.029663,2.160352,0.000524
580.613586,2.159684,0.000516
582.197388,2.159024,0.000509
583.781128,2.158369,0.000502
585.364868,2.157722,0.000495
586.948547,2.157081,0.000488
588.532166,2.156446,0.000481
590.115784,2.155817,0.000475
591.69928,2.155195,0.000468
593.282715,2.154579,0.000461
594.86615,2.153969,0.000455
596.449524,2.153365,0.000449
598.032837,2.152767,0.000442
599.616089,2.152174,0.000436
601.199341,2.151588,0.00043
602.782471,2.151006,0.000424
604.36554,2.150431,0.000418
605.948608,2.149861,0.000412
607.531616,2.149297,0.000406
609.114502,2.148737,0.0004
610.697388,2.148183,0.000395
612.280212,2.147635,0.000389
613.862976,2.147091,0.000384
615.445679,2.146552,0.000378
617.028381,2.146019,0.000373
618.610962,2.14549,0.000367
