Wavelength,n,k
401.383362,3.257583,3.384654
402.97113,3.26534,3.386405
404.558899,3.273003,3.388175
406.146667,3.280575,3.389963
407.734436,3.288056,3.391772
409.322113,3.295449,3.393601
410.909821,3.302755,3.395453
412.497498,3.309977,3.397327
414.085144,3.317115,3.399225
415.67276,3.324171,3.401148
417.260345,3.331148,3.403096
418.847961,3.338046,3.40507
420.435486,3.344868,3.407071
422.023041,3.351614,3.4091
423.610535,3.358287,3.411157
425.198059,3.364888,3.413242
426.785492,3.371419,3.415357
428.372955,3.377882,3.417502
429.960358,3.384276,3.419677
431.54776,3.390606,3.421883
433.135101,3.396871,3.42412
434.722473,3.403074,3.426389
436.309753,3.409215,3.428689
437.897064,3.415297,3.431022
439.484314,3.421321,3.433388
441.071533,3.427288,3.435786
442.658752,3.433199,3.438217
444.245941,3.439057,3.440681
445.833099,3.444862,3.443179
447.420227,3.450615,3.44571
449.007324,3.456319,3.448274
450.594391,3.461974,3.450873
452.181458,3.467582,3.453505
453.768463,3.473144,3.456172
455.355408,3.478662,3.458872
456.942383,3.484135,3.461606
458.529297,3.489567,3.464373
460.116211,3.494957,3.467175
461.703064,3.500308,3.470011
463.289886,3.50562,3.47288
464.876709,3.510894,3.475783
466.46347,3.516132,3.478719
468.050201,3.521334,3.481689
469.636902,3.526502,3.484692
471.223633,3.531638,3.487729
472.810242,3.536741,3.490798
474.396881,3.541812,3.4939
475.983459,3.546854,3.497035
477.570007,3.551867,3.500202
479.156555,3.556851,3.503401
480.743011,3.561808,3.506632
482.329498,3.56674,3.509895
483.915924,3.571645,3.513189
485.502289,3.576526,3.516515
487.088623,3.581384,3.519871
488.674957,3.586219,3.523258
490.26123,3.591032,3.526676
491.847473,3.595824,3.530123
493.433685,3.600596,3.533601
495.019867,3.605348,3.537107
496.606018,3.610082,3.540643
498.192139,3.614798,3.544208
499.778168,3.619496,3.547801
501.364197,3.624178,3.551422
502.950195,3.628844,3.555071
504.536194,3.633496,3.558748
506.122131,3.638132,3.562452
507.707947,3.642755,3.566182
509.293854,3.647365,3.569939
510.879639,3.651963,3.573722
512.465454,3.656548,3.57753
514.051147,3.661122,3.581364
515.636841,3.665686,3.585223
517.222473,3.670239,3.589106
518.808105,3.674783,3.593014
520.393677,3.679318,3.596945
521.979187,3.683844,3.6009
523.564697,3.688362,3.604878
525.150146,3.692873,3.608879
526.735535,3.697376,3.612902
528.320923,3.701874,3.616947
529.906311,3.706365,3.621013
531.491577,3.71085,3.625101
533.076782,3.71533,3.629209
534.661987,3.719805,3.633338
536.247192,3.724276,3.637487
537.832336,3.728743,3.641656
539.417358,3.733206,3.645844
541.002441,3.737666,3.650051
542.587402,3.742123,3.654276
544.172363,3.746578,3.658519
545.757263,3.75103,3.662781
