Wavelength,n,k
401.383362,1.548494,0
402.97113,1.548258,0
404.558899,1.548025,0
406.146667,1.547795,0
407.734436,1.547568,0
409.322113,1.547344,0
410.909821,1.547124,0
412.497498,1.546907,0
414.085144,1.546692,0
415.67276,1.54648,0
417.260345,1.546272,0
418.847961,1.546066,0
420.435486,1.545862,0
422.023041,1.545662,0
423.610535,1.545464,0
425.198059,1.545268,0
426.785492,1.545075,0
428.372955,1.544884,0
429.960358,1.544696,0
431.54776,1.54451,0
433.135101,1.544327,0
434.722473,1.544146,0
436.309753,1.543967,0
437.897064,1.54379,0
439.484314,1.543615,0
441.071533,1.543442,0
442.658752,1.543271,0
444.245941,1.543103,0
445.833099,1.542936,0
447.420227,1.542771,0
449.007324,1.542608,0
450.594391,1.542447,0
452.181458,1.542288,0
453.768463,1.542131,0
455.355408,1.541975,0
456.942383,1.541821,0
458.529297,1.541669,0
460.116211,1.541518,0
461.703064,1.541369,0
463.289886,1.541222,0
464.876709,1.541076,0
466.46347,1.540932,0
468.050201,1.540789,0
469.636902,1.540647,0
471.223633,1.540508,0
472.810242,1.540369,0
474.396881,1.540232,0
475.983459,1.540097,0
477.570007,1.539962,0
479.156555,1.539829,0
480.743011,1.539698,0
482.329498,1.539567,0
483.915924,1.539438,0
485.502289,1.53931,0
487.088623,1.539184,0
488.674957,1.539058,0
490.26123,1.538934,0
491.847473,1.538811,0
493.433685,1.538689,0
495.019867,1.538568,0
496.606018,1.538448,0
498.192139,1.53833,0
499.778168,1.538212,0
501.364197,1.538096,0
502.950195,1.53798,0
504.536194,1.537866,0
506.122131,1.537752,0
507.707947,1.53764,0
509.293854,1.537528,0
510.879639,1.537418,0
512.465454,1.537308,0
514.051147,1.537199,0
515.636841,1.537091,0
517.222473,1.536984,0
518.808105,1.536878,0
520.393677,1.536773,0
521.979187,1.536669,0
523.564697,1.536565,0
525.150146,1.536463,0
526.735535,1.536361,0
528.320923,1.53626,0
529.906311,1.536159,0
531.491577,1.53606,0
533.076782,1.535961,0
534.661987,1.535863,0
536.247192,1.535766,0
537.832336,1.535669,0
539.417358,1.535573,0
541.002441,1.535478,0
542.587402,1.535383,0
544.172363,1.53529,0
545.757263,1.535197,0
547.342163,1.535104,0
548.926941,1.535012,0
550.511719,1.534921,0
552.096436,1.534831,0
553.681091,1.534741,0
555.265747,1.534651,0
556.850342,1.534563,0
558.434937,1.534475,0
560.019409,1.534387,0
561.603882,1.5343,0
563.188232,1.534214,0
564.772583,1.534128,0
566.356934,1.534043,0
567.941223,1.533958,0
569.525391,1.533874,0
571.109558,1.53379,0
572.693726,1.533707,0
574.277771,1.533624,0
575.861755,1.533542,0
577.44574,1.533461,0
579.029663,1.53338,0
580.613586,1.533299,0
582.197388,1.533219,0
583.781128,1.533139,0
585.364868,1.53306,0
586.948547,1.532981,0
588.532166,1.532903,0
590.115784,1.532825,0
591.69928,1.532748,0
593.282715,1.53267,0
594.86615,1.532594,0
596.449524,1.532518,0
598.032837,1.532442,0
599.616089,1.532367,0
601.199341,1.532292,0
602.782471,1.532217,0
604.36554,1.532143,0
605.948608,1.532069,0
607.531616,1.531996,0
609.114502,1.531923,0
610.697388,1.53185,0
612.280212,1.531778,0
613.862976,1.531706,0
615.445679,1.531634,0
617.028381,1.531563,0
618.610962,1.531492,0
620.193542,1.531422,0
621.776001,1.531351,0
623.358459,1.531282,0
624.940796,1.531212,0
626.523132,1.531143,0
628.105408,1.531074,0
629.687622,1.531005,0
631.269775,1.530937,0
632.851868,1.530869,0
634.433899,1.530801,0
636.015869,1.530734,0
637.597778,1.530667,0
639.179626,1.5306,0
640.761414,1.530533,0
642.34314,1.530467,0
643.924866,1.530401,0
645.50647,1.530335,0
647.088013,1.53027,0
648.6695560000001,1.530205,0
650.250977,1.53014,0
651.832336,1.530075,0
653.413635,1.530011,0
654.994873,1.529947,0
656.57605,1.529883,0
658.157166,1.529819,0
659.73822,1.529756,0
661.319214,1.529692,0
662.900208,1.529629,0
664.481079,1.529567,0
666.06189,1.529504,0
667.642578,1.529442,0
669.223267,1.52938,0
670.803894,1.529318,0
672.384399,1.529256,0
673.964966,1.529195,0
675.545349,1.529134,0
677.125671,1.529073,0
678.705933,1.529012,0
680.286194,1.528952,0
681.866333,1.528891,0
683.446411,1.528831,0
685.026489,1.528771,0
686.606384,1.528711,0
688.186279,1.528651,0
689.766113,1.528592,0
691.345825,1.528533,0
692.925537,1.528474,0
694.505188,1.528415,0
696.084717,1.528356,0
697.664185,1.528298,0
699.243591,1.528239,0
700.822937,1.528181,0
